taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,o_fakePressure,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit
.\data\task_49,Design C 90% p2_140000,89.61167,46.30878,Design C,1.635146,0.9,GAC,1,163514.6,.\data\comp3stg\task_49\rotor1\Mis_line1d_mid_rotor1_task_49.json,.\data\comp3stg\task_49\rotor2\Mis_line1d_mid_rotor2_task_49.json,.\data\comp3stg\task_49\rotor3\Mis_line1d_mid_rotor3_task_49.json,.\data\comp3stg\task_49\stator1\Mis_line1d_mid_stator1_task_49.json,.\data\comp3stg\task_49\stator2\Mis_line1d_mid_stator2_task_49.json,.\data\comp3stg\task_49\stator3\Mis_line1d_mid_stator3_task_49.json,.\data\comp3stg\task_49\rotor1\ent_area2d_exit_rotor1_task_49.json,.\data\comp3stg\task_49\rotor2\ent_area2d_exit_rotor2_task_49.json,.\data\comp3stg\task_49\rotor3\ent_area2d_exit_rotor3_task_49.json,.\data\comp3stg\task_49\stator1\ent_area2d_exit_stator1_task_49.json,.\data\comp3stg\task_49\stator2\ent_area2d_exit_stator2_task_49.json,.\data\comp3stg\task_49\stator3\ent_area2d_exit_stator3_task_49.json
.\data\task_50,Design C 90% p2_150000,91.61307,45.26789,Design C,1.710861,0.9,DA,1.04,171086.1,.\data\comp3stg\task_50\rotor1\Mis_line1d_mid_rotor1_task_50.json,.\data\comp3stg\task_50\rotor2\Mis_line1d_mid_rotor2_task_50.json,.\data\comp3stg\task_50\rotor3\Mis_line1d_mid_rotor3_task_50.json,.\data\comp3stg\task_50\stator1\Mis_line1d_mid_stator1_task_50.json,.\data\comp3stg\task_50\stator2\Mis_line1d_mid_stator2_task_50.json,.\data\comp3stg\task_50\stator3\Mis_line1d_mid_stator3_task_50.json,.\data\comp3stg\task_50\rotor1\ent_area2d_exit_rotor1_task_50.json,.\data\comp3stg\task_50\rotor2\ent_area2d_exit_rotor2_task_50.json,.\data\comp3stg\task_50\rotor3\ent_area2d_exit_rotor3_task_50.json,.\data\comp3stg\task_50\stator1\ent_area2d_exit_stator1_task_50.json,.\data\comp3stg\task_50\stator2\ent_area2d_exit_stator2_task_50.json,.\data\comp3stg\task_50\stator3\ent_area2d_exit_stator3_task_50.json
.\data\task_51,Design C 90% p2_160000,92.68741,43.88658,Design C,1.788069,0.9,GAC,0.96,178806.9,.\data\comp3stg\task_51\rotor1\Mis_line1d_mid_rotor1_task_51.json,.\data\comp3stg\task_51\rotor2\Mis_line1d_mid_rotor2_task_51.json,.\data\comp3stg\task_51\rotor3\Mis_line1d_mid_rotor3_task_51.json,.\data\comp3stg\task_51\stator1\Mis_line1d_mid_stator1_task_51.json,.\data\comp3stg\task_51\stator2\Mis_line1d_mid_stator2_task_51.json,.\data\comp3stg\task_51\stator3\Mis_line1d_mid_stator3_task_51.json,.\data\comp3stg\task_51\rotor1\ent_area2d_exit_rotor1_task_51.json,.\data\comp3stg\task_51\rotor2\ent_area2d_exit_rotor2_task_51.json,.\data\comp3stg\task_51\rotor3\ent_area2d_exit_rotor3_task_51.json,.\data\comp3stg\task_51\stator1\ent_area2d_exit_stator1_task_51.json,.\data\comp3stg\task_51\stator2\ent_area2d_exit_stator2_task_51.json,.\data\comp3stg\task_51\stator3\ent_area2d_exit_stator3_task_51.json
.\data\task_52,Design C 90% p2_170000,93.06691,41.99544,Design C,1.864946,0.9,DA,1,186494.6,.\data\comp3stg\task_52\rotor1\Mis_line1d_mid_rotor1_task_52.json,.\data\comp3stg\task_52\rotor2\Mis_line1d_mid_rotor2_task_52.json,.\data\comp3stg\task_52\rotor3\Mis_line1d_mid_rotor3_task_52.json,.\data\comp3stg\task_52\stator1\Mis_line1d_mid_stator1_task_52.json,.\data\comp3stg\task_52\stator2\Mis_line1d_mid_stator2_task_52.json,.\data\comp3stg\task_52\stator3\Mis_line1d_mid_stator3_task_52.json,.\data\comp3stg\task_52\rotor1\ent_area2d_exit_rotor1_task_52.json,.\data\comp3stg\task_52\rotor2\ent_area2d_exit_rotor2_task_52.json,.\data\comp3stg\task_52\rotor3\ent_area2d_exit_rotor3_task_52.json,.\data\comp3stg\task_52\stator1\ent_area2d_exit_stator1_task_52.json,.\data\comp3stg\task_52\stator2\ent_area2d_exit_stator2_task_52.json,.\data\comp3stg\task_52\stator3\ent_area2d_exit_stator3_task_52.json
.\data\task_53,Design C 80% p2_90000,62.53687,42.0103,Design C,1.25842,0.8,GAC,1.04,125842,.\data\comp3stg\task_53\rotor1\Mis_line1d_mid_rotor1_task_53.json,.\data\comp3stg\task_53\rotor2\Mis_line1d_mid_rotor2_task_53.json,.\data\comp3stg\task_53\rotor3\Mis_line1d_mid_rotor3_task_53.json,.\data\comp3stg\task_53\stator1\Mis_line1d_mid_stator1_task_53.json,.\data\comp3stg\task_53\stator2\Mis_line1d_mid_stator2_task_53.json,.\data\comp3stg\task_53\stator3\Mis_line1d_mid_stator3_task_53.json,.\data\comp3stg\task_53\rotor1\ent_area2d_exit_rotor1_task_53.json,.\data\comp3stg\task_53\rotor2\ent_area2d_exit_rotor2_task_53.json,.\data\comp3stg\task_53\rotor3\ent_area2d_exit_rotor3_task_53.json,.\data\comp3stg\task_53\stator1\ent_area2d_exit_stator1_task_53.json,.\data\comp3stg\task_53\stator2\ent_area2d_exit_stator2_task_53.json,.\data\comp3stg\task_53\stator3\ent_area2d_exit_stator3_task_53.json
.\data\task_54,Design C 80% p2_100000,69.62771,41.9909,Design C,1.29631,0.8,DA,0.96,129631,.\data\comp3stg\task_54\rotor1\Mis_line1d_mid_rotor1_task_54.json,.\data\comp3stg\task_54\rotor2\Mis_line1d_mid_rotor2_task_54.json,.\data\comp3stg\task_54\rotor3\Mis_line1d_mid_rotor3_task_54.json,.\data\comp3stg\task_54\stator1\Mis_line1d_mid_stator1_task_54.json,.\data\comp3stg\task_54\stator2\Mis_line1d_mid_stator2_task_54.json,.\data\comp3stg\task_54\stator3\Mis_line1d_mid_stator3_task_54.json,.\data\comp3stg\task_54\rotor1\ent_area2d_exit_rotor1_task_54.json,.\data\comp3stg\task_54\rotor2\ent_area2d_exit_rotor2_task_54.json,.\data\comp3stg\task_54\rotor3\ent_area2d_exit_rotor3_task_54.json,.\data\comp3stg\task_54\stator1\ent_area2d_exit_stator1_task_54.json,.\data\comp3stg\task_54\stator2\ent_area2d_exit_stator2_task_54.json,.\data\comp3stg\task_54\stator3\ent_area2d_exit_stator3_task_54.json
.\data\task_55,Design C 80% p2_110000,78.54327,41.95366,Design C,1.352803,0.8,GAC,1,135280.3,.\data\comp3stg\task_55\rotor1\Mis_line1d_mid_rotor1_task_55.json,.\data\comp3stg\task_55\rotor2\Mis_line1d_mid_rotor2_task_55.json,.\data\comp3stg\task_55\rotor3\Mis_line1d_mid_rotor3_task_55.json,.\data\comp3stg\task_55\stator1\Mis_line1d_mid_stator1_task_55.json,.\data\comp3stg\task_55\stator2\Mis_line1d_mid_stator2_task_55.json,.\data\comp3stg\task_55\stator3\Mis_line1d_mid_stator3_task_55.json,.\data\comp3stg\task_55\rotor1\ent_area2d_exit_rotor1_task_55.json,.\data\comp3stg\task_55\rotor2\ent_area2d_exit_rotor2_task_55.json,.\data\comp3stg\task_55\rotor3\ent_area2d_exit_rotor3_task_55.json,.\data\comp3stg\task_55\stator1\ent_area2d_exit_stator1_task_55.json,.\data\comp3stg\task_55\stator2\ent_area2d_exit_stator2_task_55.json,.\data\comp3stg\task_55\stator3\ent_area2d_exit_stator3_task_55.json
.\data\task_56,Design C 80% p2_120000,86.08909,41.57119,Design C,1.415831,0.8,DA,1.04,141583.1,.\data\comp3stg\task_56\rotor1\Mis_line1d_mid_rotor1_task_56.json,.\data\comp3stg\task_56\rotor2\Mis_line1d_mid_rotor2_task_56.json,.\data\comp3stg\task_56\rotor3\Mis_line1d_mid_rotor3_task_56.json,.\data\comp3stg\task_56\stator1\Mis_line1d_mid_stator1_task_56.json,.\data\comp3stg\task_56\stator2\Mis_line1d_mid_stator2_task_56.json,.\data\comp3stg\task_56\stator3\Mis_line1d_mid_stator3_task_56.json,.\data\comp3stg\task_56\rotor1\ent_area2d_exit_rotor1_task_56.json,.\data\comp3stg\task_56\rotor2\ent_area2d_exit_rotor2_task_56.json,.\data\comp3stg\task_56\rotor3\ent_area2d_exit_rotor3_task_56.json,.\data\comp3stg\task_56\stator1\ent_area2d_exit_stator1_task_56.json,.\data\comp3stg\task_56\stator2\ent_area2d_exit_stator2_task_56.json,.\data\comp3stg\task_56\stator3\ent_area2d_exit_stator3_task_56.json
.\data\task_57,Design C 80% p2_130000,90.25924,40.52286,Design C,1.48731,0.8,GAC,0.96,148731,.\data\comp3stg\task_57\rotor1\Mis_line1d_mid_rotor1_task_57.json,.\data\comp3stg\task_57\rotor2\Mis_line1d_mid_rotor2_task_57.json,.\data\comp3stg\task_57\rotor3\Mis_line1d_mid_rotor3_task_57.json,.\data\comp3stg\task_57\stator1\Mis_line1d_mid_stator1_task_57.json,.\data\comp3stg\task_57\stator2\Mis_line1d_mid_stator2_task_57.json,.\data\comp3stg\task_57\stator3\Mis_line1d_mid_stator3_task_57.json,.\data\comp3stg\task_57\rotor1\ent_area2d_exit_rotor1_task_57.json,.\data\comp3stg\task_57\rotor2\ent_area2d_exit_rotor2_task_57.json,.\data\comp3stg\task_57\rotor3\ent_area2d_exit_rotor3_task_57.json,.\data\comp3stg\task_57\stator1\ent_area2d_exit_stator1_task_57.json,.\data\comp3stg\task_57\stator2\ent_area2d_exit_stator2_task_57.json,.\data\comp3stg\task_57\stator3\ent_area2d_exit_stator3_task_57.json
.\data\task_58,Design C 80% p2_140000,92.27844,38.89184,Design C,1.56157,0.8,DA,1,156157,.\data\comp3stg\task_58\rotor1\Mis_line1d_mid_rotor1_task_58.json,.\data\comp3stg\task_58\rotor2\Mis_line1d_mid_rotor2_task_58.json,.\data\comp3stg\task_58\rotor3\Mis_line1d_mid_rotor3_task_58.json,.\data\comp3stg\task_58\stator1\Mis_line1d_mid_stator1_task_58.json,.\data\comp3stg\task_58\stator2\Mis_line1d_mid_stator2_task_58.json,.\data\comp3stg\task_58\stator3\Mis_line1d_mid_stator3_task_58.json,.\data\comp3stg\task_58\rotor1\ent_area2d_exit_rotor1_task_58.json,.\data\comp3stg\task_58\rotor2\ent_area2d_exit_rotor2_task_58.json,.\data\comp3stg\task_58\rotor3\ent_area2d_exit_rotor3_task_58.json,.\data\comp3stg\task_58\stator1\ent_area2d_exit_stator1_task_58.json,.\data\comp3stg\task_58\stator2\ent_area2d_exit_stator2_task_58.json,.\data\comp3stg\task_58\stator3\ent_area2d_exit_stator3_task_58.json
.\data\task_59,Design C 80% p2_150000,93.0589,36.67851,Design C,1.6359,0.8,GAC,1.04,163590,.\data\comp3stg\task_59\rotor1\Mis_line1d_mid_rotor1_task_59.json,.\data\comp3stg\task_59\rotor2\Mis_line1d_mid_rotor2_task_59.json,.\data\comp3stg\task_59\rotor3\Mis_line1d_mid_rotor3_task_59.json,.\data\comp3stg\task_59\stator1\Mis_line1d_mid_stator1_task_59.json,.\data\comp3stg\task_59\stator2\Mis_line1d_mid_stator2_task_59.json,.\data\comp3stg\task_59\stator3\Mis_line1d_mid_stator3_task_59.json,.\data\comp3stg\task_59\rotor1\ent_area2d_exit_rotor1_task_59.json,.\data\comp3stg\task_59\rotor2\ent_area2d_exit_rotor2_task_59.json,.\data\comp3stg\task_59\rotor3\ent_area2d_exit_rotor3_task_59.json,.\data\comp3stg\task_59\stator1\ent_area2d_exit_stator1_task_59.json,.\data\comp3stg\task_59\stator2\ent_area2d_exit_stator2_task_59.json,.\data\comp3stg\task_59\stator3\ent_area2d_exit_stator3_task_59.json
.\data\task_60,Design D 100% p2_140000,83.51631,51.88483,Design D,1.71209,1,DA,0.96,171209,.\data\comp3stg\task_60\rotor1\Mis_line1d_mid_rotor1_task_60.json,.\data\comp3stg\task_60\rotor2\Mis_line1d_mid_rotor2_task_60.json,.\data\comp3stg\task_60\rotor3\Mis_line1d_mid_rotor3_task_60.json,.\data\comp3stg\task_60\stator1\Mis_line1d_mid_stator1_task_60.json,.\data\comp3stg\task_60\stator2\Mis_line1d_mid_stator2_task_60.json,.\data\comp3stg\task_60\stator3\Mis_line1d_mid_stator3_task_60.json,.\data\comp3stg\task_60\rotor1\ent_area2d_exit_rotor1_task_60.json,.\data\comp3stg\task_60\rotor2\ent_area2d_exit_rotor2_task_60.json,.\data\comp3stg\task_60\rotor3\ent_area2d_exit_rotor3_task_60.json,.\data\comp3stg\task_60\stator1\ent_area2d_exit_stator1_task_60.json,.\data\comp3stg\task_60\stator2\ent_area2d_exit_stator2_task_60.json,.\data\comp3stg\task_60\stator3\ent_area2d_exit_stator3_task_60.json
.\data\task_61,Design D 100% p2_150000,86.6899,51.85881,Design D,1.787169,1,GAC,1,178716.9,.\data\comp3stg\task_61\rotor1\Mis_line1d_mid_rotor1_task_61.json,.\data\comp3stg\task_61\rotor2\Mis_line1d_mid_rotor2_task_61.json,.\data\comp3stg\task_61\rotor3\Mis_line1d_mid_rotor3_task_61.json,.\data\comp3stg\task_61\stator1\Mis_line1d_mid_stator1_task_61.json,.\data\comp3stg\task_61\stator2\Mis_line1d_mid_stator2_task_61.json,.\data\comp3stg\task_61\stator3\Mis_line1d_mid_stator3_task_61.json,.\data\comp3stg\task_61\rotor1\ent_area2d_exit_rotor1_task_61.json,.\data\comp3stg\task_61\rotor2\ent_area2d_exit_rotor2_task_61.json,.\data\comp3stg\task_61\rotor3\ent_area2d_exit_rotor3_task_61.json,.\data\comp3stg\task_61\stator1\ent_area2d_exit_stator1_task_61.json,.\data\comp3stg\task_61\stator2\ent_area2d_exit_stator2_task_61.json,.\data\comp3stg\task_61\stator3\ent_area2d_exit_stator3_task_61.json
.\data\task_62,Design D 100% p2_160000,90.11619,51.64661,Design D,1.866713,1,DA,1.04,186671.3,.\data\comp3stg\task_62\rotor1\Mis_line1d_mid_rotor1_task_62.json,.\data\comp3stg\task_62\rotor2\Mis_line1d_mid_rotor2_task_62.json,.\data\comp3stg\task_62\rotor3\Mis_line1d_mid_rotor3_task_62.json,.\data\comp3stg\task_62\stator1\Mis_line1d_mid_stator1_task_62.json,.\data\comp3stg\task_62\stator2\Mis_line1d_mid_stator2_task_62.json,.\data\comp3stg\task_62\stator3\Mis_line1d_mid_stator3_task_62.json,.\data\comp3stg\task_62\rotor1\ent_area2d_exit_rotor1_task_62.json,.\data\comp3stg\task_62\rotor2\ent_area2d_exit_rotor2_task_62.json,.\data\comp3stg\task_62\rotor3\ent_area2d_exit_rotor3_task_62.json,.\data\comp3stg\task_62\stator1\ent_area2d_exit_stator1_task_62.json,.\data\comp3stg\task_62\stator2\ent_area2d_exit_stator2_task_62.json,.\data\comp3stg\task_62\stator3\ent_area2d_exit_stator3_task_62.json
.\data\task_63,Design D 100% p2_170000,91.55427,50.91265,Design D,1.945883,1,GAC,0.96,194588.3,.\data\comp3stg\task_63\rotor1\Mis_line1d_mid_rotor1_task_63.json,.\data\comp3stg\task_63\rotor2\Mis_line1d_mid_rotor2_task_63.json,.\data\comp3stg\task_63\rotor3\Mis_line1d_mid_rotor3_task_63.json,.\data\comp3stg\task_63\stator1\Mis_line1d_mid_stator1_task_63.json,.\data\comp3stg\task_63\stator2\Mis_line1d_mid_stator2_task_63.json,.\data\comp3stg\task_63\stator3\Mis_line1d_mid_stator3_task_63.json,.\data\comp3stg\task_63\rotor1\ent_area2d_exit_rotor1_task_63.json,.\data\comp3stg\task_63\rotor2\ent_area2d_exit_rotor2_task_63.json,.\data\comp3stg\task_63\rotor3\ent_area2d_exit_rotor3_task_63.json,.\data\comp3stg\task_63\stator1\ent_area2d_exit_stator1_task_63.json,.\data\comp3stg\task_63\stator2\ent_area2d_exit_stator2_task_63.json,.\data\comp3stg\task_63\stator3\ent_area2d_exit_stator3_task_63.json
.\data\task_64,Design D 100% p2_180000,92.37103,49.88363,Design D,2.025576,1,DA,1,202557.6,.\data\comp3stg\task_64\rotor1\Mis_line1d_mid_rotor1_task_64.json,.\data\comp3stg\task_64\rotor2\Mis_line1d_mid_rotor2_task_64.json,.\data\comp3stg\task_64\rotor3\Mis_line1d_mid_rotor3_task_64.json,.\data\comp3stg\task_64\stator1\Mis_line1d_mid_stator1_task_64.json,.\data\comp3stg\task_64\stator2\Mis_line1d_mid_stator2_task_64.json,.\data\comp3stg\task_64\stator3\Mis_line1d_mid_stator3_task_64.json,.\data\comp3stg\task_64\rotor1\ent_area2d_exit_rotor1_task_64.json,.\data\comp3stg\task_64\rotor2\ent_area2d_exit_rotor2_task_64.json,.\data\comp3stg\task_64\rotor3\ent_area2d_exit_rotor3_task_64.json,.\data\comp3stg\task_64\stator1\ent_area2d_exit_stator1_task_64.json,.\data\comp3stg\task_64\stator2\ent_area2d_exit_stator2_task_64.json,.\data\comp3stg\task_64\stator3\ent_area2d_exit_stator3_task_64.json
.\data\task_65,Design D 100% p2_190000,92.83365,48.55642,Design D,2.108516,1,GAC,1.04,210851.6,.\data\comp3stg\task_65\rotor1\Mis_line1d_mid_rotor1_task_65.json,.\data\comp3stg\task_65\rotor2\Mis_line1d_mid_rotor2_task_65.json,.\data\comp3stg\task_65\rotor3\Mis_line1d_mid_rotor3_task_65.json,.\data\comp3stg\task_65\stator1\Mis_line1d_mid_stator1_task_65.json,.\data\comp3stg\task_65\stator2\Mis_line1d_mid_stator2_task_65.json,.\data\comp3stg\task_65\stator3\Mis_line1d_mid_stator3_task_65.json,.\data\comp3stg\task_65\rotor1\ent_area2d_exit_rotor1_task_65.json,.\data\comp3stg\task_65\rotor2\ent_area2d_exit_rotor2_task_65.json,.\data\comp3stg\task_65\rotor3\ent_area2d_exit_rotor3_task_65.json,.\data\comp3stg\task_65\stator1\ent_area2d_exit_stator1_task_65.json,.\data\comp3stg\task_65\stator2\ent_area2d_exit_stator2_task_65.json,.\data\comp3stg\task_65\stator3\ent_area2d_exit_stator3_task_65.json
.\data\task_66,Design D 90% p2_110000,74.94646,46.84214,Design D,1.439822,0.9,DA,0.96,143982.2,.\data\comp3stg\task_66\rotor1\Mis_line1d_mid_rotor1_task_66.json,.\data\comp3stg\task_66\rotor2\Mis_line1d_mid_rotor2_task_66.json,.\data\comp3stg\task_66\rotor3\Mis_line1d_mid_rotor3_task_66.json,.\data\comp3stg\task_66\stator1\Mis_line1d_mid_stator1_task_66.json,.\data\comp3stg\task_66\stator2\Mis_line1d_mid_stator2_task_66.json,.\data\comp3stg\task_66\stator3\Mis_line1d_mid_stator3_task_66.json,.\data\comp3stg\task_66\rotor1\ent_area2d_exit_rotor1_task_66.json,.\data\comp3stg\task_66\rotor2\ent_area2d_exit_rotor2_task_66.json,.\data\comp3stg\task_66\rotor3\ent_area2d_exit_rotor3_task_66.json,.\data\comp3stg\task_66\stator1\ent_area2d_exit_stator1_task_66.json,.\data\comp3stg\task_66\stator2\ent_area2d_exit_stator2_task_66.json,.\data\comp3stg\task_66\stator3\ent_area2d_exit_stator3_task_66.json
.\data\task_67,Design D 90% p2_120000,80.36286,46.81968,Design D,1.495827,0.9,GAC,1,149582.7,.\data\comp3stg\task_67\rotor1\Mis_line1d_mid_rotor1_task_67.json,.\data\comp3stg\task_67\rotor2\Mis_line1d_mid_rotor2_task_67.json,.\data\comp3stg\task_67\rotor3\Mis_line1d_mid_rotor3_task_67.json,.\data\comp3stg\task_67\stator1\Mis_line1d_mid_stator1_task_67.json,.\data\comp3stg\task_67\stator2\Mis_line1d_mid_stator2_task_67.json,.\data\comp3stg\task_67\stator3\Mis_line1d_mid_stator3_task_67.json,.\data\comp3stg\task_67\rotor1\ent_area2d_exit_rotor1_task_67.json,.\data\comp3stg\task_67\rotor2\ent_area2d_exit_rotor2_task_67.json,.\data\comp3stg\task_67\rotor3\ent_area2d_exit_rotor3_task_67.json,.\data\comp3stg\task_67\stator1\ent_area2d_exit_stator1_task_67.json,.\data\comp3stg\task_67\stator2\ent_area2d_exit_stator2_task_67.json,.\data\comp3stg\task_67\stator3\ent_area2d_exit_stator3_task_67.json
.\data\task_68,Design D 90% p2_130000,85.20143,46.79285,Design D,1.560864,0.9,DA,1.04,156086.4,.\data\comp3stg\task_68\rotor1\Mis_line1d_mid_rotor1_task_68.json,.\data\comp3stg\task_68\rotor2\Mis_line1d_mid_rotor2_task_68.json,.\data\comp3stg\task_68\rotor3\Mis_line1d_mid_rotor3_task_68.json,.\data\comp3stg\task_68\stator1\Mis_line1d_mid_stator1_task_68.json,.\data\comp3stg\task_68\stator2\Mis_line1d_mid_stator2_task_68.json,.\data\comp3stg\task_68\stator3\Mis_line1d_mid_stator3_task_68.json,.\data\comp3stg\task_68\rotor1\ent_area2d_exit_rotor1_task_68.json,.\data\comp3stg\task_68\rotor2\ent_area2d_exit_rotor2_task_68.json,.\data\comp3stg\task_68\rotor3\ent_area2d_exit_rotor3_task_68.json,.\data\comp3stg\task_68\stator1\ent_area2d_exit_stator1_task_68.json,.\data\comp3stg\task_68\stator2\ent_area2d_exit_stator2_task_68.json,.\data\comp3stg\task_68\stator3\ent_area2d_exit_stator3_task_68.json
.\data\task_69,Design D 90% p2_140000,89.68886,46.3638,Design D,1.636113,0.9,GAC,0.96,163611.3,.\data\comp3stg\task_69\rotor1\Mis_line1d_mid_rotor1_task_69.json,.\data\comp3stg\task_69\rotor2\Mis_line1d_mid_rotor2_task_69.json,.\data\comp3stg\task_69\rotor3\Mis_line1d_mid_rotor3_task_69.json,.\data\comp3stg\task_69\stator1\Mis_line1d_mid_stator1_task_69.json,.\data\comp3stg\task_69\stator2\Mis_line1d_mid_stator2_task_69.json,.\data\comp3stg\task_69\stator3\Mis_line1d_mid_stator3_task_69.json,.\data\comp3stg\task_69\rotor1\ent_area2d_exit_rotor1_task_69.json,.\data\comp3stg\task_69\rotor2\ent_area2d_exit_rotor2_task_69.json,.\data\comp3stg\task_69\rotor3\ent_area2d_exit_rotor3_task_69.json,.\data\comp3stg\task_69\stator1\ent_area2d_exit_stator1_task_69.json,.\data\comp3stg\task_69\stator2\ent_area2d_exit_stator2_task_69.json,.\data\comp3stg\task_69\stator3\ent_area2d_exit_stator3_task_69.json
.\data\task_70,Design D 90% p2_150000,91.58084,45.32209,Design D,1.71151,0.9,DA,1,171151,.\data\comp3stg\task_70\rotor1\Mis_line1d_mid_rotor1_task_70.json,.\data\comp3stg\task_70\rotor2\Mis_line1d_mid_rotor2_task_70.json,.\data\comp3stg\task_70\rotor3\Mis_line1d_mid_rotor3_task_70.json,.\data\comp3stg\task_70\stator1\Mis_line1d_mid_stator1_task_70.json,.\data\comp3stg\task_70\stator2\Mis_line1d_mid_stator2_task_70.json,.\data\comp3stg\task_70\stator3\Mis_line1d_mid_stator3_task_70.json,.\data\comp3stg\task_70\rotor1\ent_area2d_exit_rotor1_task_70.json,.\data\comp3stg\task_70\rotor2\ent_area2d_exit_rotor2_task_70.json,.\data\comp3stg\task_70\rotor3\ent_area2d_exit_rotor3_task_70.json,.\data\comp3stg\task_70\stator1\ent_area2d_exit_stator1_task_70.json,.\data\comp3stg\task_70\stator2\ent_area2d_exit_stator2_task_70.json,.\data\comp3stg\task_70\stator3\ent_area2d_exit_stator3_task_70.json
.\data\task_71,Design D 90% p2_160000,92.66448,43.92887,Design D,1.788233,0.9,GAC,1.04,178823.3,.\data\comp3stg\task_71\rotor1\Mis_line1d_mid_rotor1_task_71.json,.\data\comp3stg\task_71\rotor2\Mis_line1d_mid_rotor2_task_71.json,.\data\comp3stg\task_71\rotor3\Mis_line1d_mid_rotor3_task_71.json,.\data\comp3stg\task_71\stator1\Mis_line1d_mid_stator1_task_71.json,.\data\comp3stg\task_71\stator2\Mis_line1d_mid_stator2_task_71.json,.\data\comp3stg\task_71\stator3\Mis_line1d_mid_stator3_task_71.json,.\data\comp3stg\task_71\rotor1\ent_area2d_exit_rotor1_task_71.json,.\data\comp3stg\task_71\rotor2\ent_area2d_exit_rotor2_task_71.json,.\data\comp3stg\task_71\rotor3\ent_area2d_exit_rotor3_task_71.json,.\data\comp3stg\task_71\stator1\ent_area2d_exit_stator1_task_71.json,.\data\comp3stg\task_71\stator2\ent_area2d_exit_stator2_task_71.json,.\data\comp3stg\task_71\stator3\ent_area2d_exit_stator3_task_71.json
.\data\task_72,Design D 90% p2_170000,93.06512,42.05704,Design D,1.865714,0.9,DA,0.96,186571.4,.\data\comp3stg\task_72\rotor1\Mis_line1d_mid_rotor1_task_72.json,.\data\comp3stg\task_72\rotor2\Mis_line1d_mid_rotor2_task_72.json,.\data\comp3stg\task_72\rotor3\Mis_line1d_mid_rotor3_task_72.json,.\data\comp3stg\task_72\stator1\Mis_line1d_mid_stator1_task_72.json,.\data\comp3stg\task_72\stator2\Mis_line1d_mid_stator2_task_72.json,.\data\comp3stg\task_72\stator3\Mis_line1d_mid_stator3_task_72.json,.\data\comp3stg\task_72\rotor1\ent_area2d_exit_rotor1_task_72.json,.\data\comp3stg\task_72\rotor2\ent_area2d_exit_rotor2_task_72.json,.\data\comp3stg\task_72\rotor3\ent_area2d_exit_rotor3_task_72.json,.\data\comp3stg\task_72\stator1\ent_area2d_exit_stator1_task_72.json,.\data\comp3stg\task_72\stator2\ent_area2d_exit_stator2_task_72.json,.\data\comp3stg\task_72\stator3\ent_area2d_exit_stator3_task_72.json
.\data\task_73,Design D 80% p2_90000,64.11477,42.08138,Design D,1.256972,0.8,GAC,1,125697.2,.\data\comp3stg\task_73\rotor1\Mis_line1d_mid_rotor1_task_73.json,.\data\comp3stg\task_73\rotor2\Mis_line1d_mid_rotor2_task_73.json,.\data\comp3stg\task_73\rotor3\Mis_line1d_mid_rotor3_task_73.json,.\data\comp3stg\task_73\stator1\Mis_line1d_mid_stator1_task_73.json,.\data\comp3stg\task_73\stator2\Mis_line1d_mid_stator2_task_73.json,.\data\comp3stg\task_73\stator3\Mis_line1d_mid_stator3_task_73.json,.\data\comp3stg\task_73\rotor1\ent_area2d_exit_rotor1_task_73.json,.\data\comp3stg\task_73\rotor2\ent_area2d_exit_rotor2_task_73.json,.\data\comp3stg\task_73\rotor3\ent_area2d_exit_rotor3_task_73.json,.\data\comp3stg\task_73\stator1\ent_area2d_exit_stator1_task_73.json,.\data\comp3stg\task_73\stator2\ent_area2d_exit_stator2_task_73.json,.\data\comp3stg\task_73\stator3\ent_area2d_exit_stator3_task_73.json
